listing,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel
PUQ0208,184.65,183.6,5
PVE0302,131.61,122.0,4
PVG0501,180.05,,0
PZD0403,203.0,140.0,2
PZO0905,200.71,190.8,5
PZO0907,217.78,130.0,3
QLR0004,220.0,,0
QSA1405,260.69,229.0,1
QSPB005,324.5,180.0,3
QTIB0301,134.17,130.6,5
QUI0090,159.82,176.0,1
QUI0225,196.36,180.0,3
RAA0301,178.8,,0
RAE0126,130.88,,0
RAG0406,119.35,110.0,2
RAH1019,125.23,,0
RAK0331,230.29,203.0,2
RAL0303,138.61,140.0,3
RAL203,123.89,,0
RAL204,129.57,138.0,3
RAN203,387.25,,0
RAO1520,248.96,,0
RAP0306,149.95,120.0,1
RAP308,183.96,198.0,3
RAS175,454.0,276.0,1
RAT001,316.17,195.0,3
RBA201,109.8,,0
RBE0031,237.18,,0
RBF142,126.04,110.0,1
RBH806,168.88,,0
RBM207,400.0,400.0,5
RBN1104,223.76,200.0,3
RBR0003,144.0,160.2,5
RCA264,1471.42,600.0,2
RCB405,152.4,120.0,2
RCF160,287.78,,0
RCI0201,135.0,141.8,5
RCP202,149.6,195.4,5
RCS701,208.4,155.0,2
RCX1105,205.79,185.0,2
RCX1807,227.5,250.0,2
RDD657,310.65,,0
RDK0801,260.86,802.0,3
RDM0101,134.68,,0
RDO0025,147.86,,0
RDS001,258.8,162.0,1
RDS002,217.22,150.67,3
RDS003,216.69,100.0,3
RDT0124,874.5,851.0,1
RDT1004,135.0,140.0,2
REALOCAÇÃO,,,0
REALOCAÇÃO4,,,0
REALOCAÇÃO5,,,0
REALOCAÇÃO6,,,1
REH0203,183.59,194.0,2
REI0206,132.5,216.0,3
REK0001,122.08,110.0,1
REK0002,113.0,104.4,5
RES201,196.0,196.0,5
RFA303,130.82,130.0,1
RFE000,800.0,800.0,1
RFL203,148.84,148.0,3
RFM0001,148.89,149.0,1
RFM0005,154.18,306.0,3
RFM0007,153.96,167.0,2
RFM0012,152.65,,0
RFM0017,170.13,154.8,5
RFM0019,,250.0,5
RFM0021,167.29,167.0,2
RFM0023,211.11,249.4,5
RFM0024,156.72,154.8,5
RFM0025,216.71,267.0,4
RFM0027,151.82,150.0,3
RFM0035,175.84,164.0,2
RFM0039,150.31,234.0,3
RFMB0011,143.5,149.0,1
RFO0102,137.78,120.0,1
RFS205,148.83,153.0,3
RFT505,146.28,,0
RFY0025,188.29,,0
RGB001,390.0,390.0,4
RGB002,390.0,390.0,4
RGB003,,390.0,4
RGB004,,390.0,4
RGF0410,166.0,162.0,2
RGF0711,174.33,,0
RGF1201,178.46,174.0,3
RGF1211,164.89,,0
RGF1406,168.61,162.0,2
RGL0304,414.44,350.0,1
RGN0203,149.88,130.0,1
RGO0502,128.11,,0
RGO702,131.17,120.0,3
RGOA701,126.0,,0
RGOB701,174.69,,0
RGOR0025,109.05,105.0,3
RGP0107,126.0,117.0,2
RGP208,145.06,138.0,2
RGP302,188.63,198.0,3
RGV115,145.56,115.0,3
RHE101,97.71,,0
RHE201,119.37,,0
RHI206,119.62,,0
RHL0302,250.42,200.0,2
RHL0305,219.44,200.0,2
RIB0201,118.89,100.0,1
RID3106,127.32,127.0,1
RIE0315,190.87,175.0,2
RIG0102,479.0,,0
RIS845,322.29,160.0,2
RIT0201,541.41,,0
RIT206,550.0,345.0,1
RIV101,326.46,,0
RJE0980,389.67,,0
RJF001,585.0,,0
RJF002,578.0,500.0,3
RJF006,,552.0,5
RJH0101,255.85,250.0,1
RJI0046,159.76,134.0,1
RJI011,149.75,144.0,4
RJI022,143.73,134.0,2
RJT0104,132.45,126.0,3
RJU8301,115.53,128.33,3
RLA0201,307.35,180.0,3
RLI0101,146.0,,0
RLN0104,190.8,175.0,3
RLN0105,161.0,,0
RLN204,197.0,184.0,3
RLU0302,422.67,302.0,3
RLV0206,285.6,,0
RLZ0301,,221.0,1
RMA101,135.88,111.0,2
RMC203,123.55,,0
RME047,182.67,156.8,5
RMH1511,202.63,162.0,3
RMI0007,149.59,140.0,1
RMI201,165.8,145.4,5
RML605,265.64,228.0,2
RMM0318,132.47,119.0,2
RMO0602,168.31,,0
RNA0303,308.55,234.0,1
RNC0202,129.25,132.0,3
RNE0301,199.57,155.0,3
ROB203,,528.0,5
ROE210,200.68,,0
ROI009,597.42,1000.0,2
ROR0001,135.62,,0
ROR0002,117.58,,0
ROT1001,127.7,120.0,2
ROY0401,230.0,212.0,3
RPB037,149.94,114.0,1
RPB038,246.52,,0
RPC0305,160.95,133.0,2
RPC301,155.42,144.0,1
RPF0605,197.48,170.0,2
RPN0101,212.85,,0
RPP0678,152.68,133.0,1
RPR056,168.2,,0
RPS0460,219.07,211.5,4
RPV0308,146.64,118.5,2
RPV102,179.29,171.2,5
RRA0103,341.43,318.0,5
RRA0205,149.45,,0
RRB0202,158.8,140.75,4
RRC0206,125.33,120.0,3
RRC0207,138.0,127.2,5
RRF2562,230.27,,0
RRI103,282.82,252.0,1
RRT0098,126.0,103.75,4
RSA025,116.85,119.0,1
RSC0102,117.37,,0
RSJ0202,,160.0,5
RSL0502,196.82,180.0,1
RSM0023,272.3,200.0,3
RSM0024,,,0
RSM0029,,,0
RSN301,125.37,124.5,4
RSR0614,231.71,,0
RSR0812,243.32,,0
RST0206,245.62,,0
RSU3842,163.86,140.0,1
RTA042,162.91,125.0,1
RTBA1361,165.14,,0
RTBB1361,99.0,117.4,5
RTG101,206.19,207.75,4
RTG208,176.84,182.0,3
RTL0302,158.8,,0
RTO0502,222.75,150.0,2
RTQ0009,233.33,401.0,5
RTS0503,158.57,140.0,2
RTS0903,158.81,140.0,1
RTT1905,253.67,,0
RUA0226,159.75,140.0,1
RUC0001,102.62,90.0,2
RUC0002,95.93,95.6,5
RUC0003,95.54,104.0,2
RUD0047,618.67,,0
RUL0035,267.73,246.0,5
RUP0101,132.88,126.0,3
RUP0203,127.68,132.0,3
RUP0603,128.25,133.2,5
RUP0804,141.28,,0
RUP0805,149.0,126.0,3
RUP1005,140.96,130.5,4
RUP1405,132.91,133.0,1
RVC0703,270.25,240.0,2
RVG0207,229.29,200.0,2
RVG101,229.53,,0
RVG208,183.4,180.25,4
RVL118,103.67,97.0,2
RVL1183,95.46,90.0,2
RVM0203,226.77,242.0,3
RVN2003,153.0,130.0,2
RVO401,685.18,591.0,1
RVP0502,123.57,115.2,5
RVR0506,172.12,161.0,2
SAT0012,298.79,234.0,2
SBA0401,157.73,138.0,5
SBG003,130.5,122.0,2
SBN0705,145.83,145.25,4
SCE114,218.75,,0
SCO0003,103.28,116.0,2
SCO0004,124.0,114.8,5
SCO0005,149.15,,0
SCO0008,127.77,138.0,1
SCO0009,110.35,127.4,5
SCO0011,104.45,114.8,5
SCO0012,125.24,,0
SCO0014,141.1,,0
SCO0015,,127.4,5
SCO0016,135.0,123.0,2
SDA311,194.14,162.5,4
SDN042,243.53,210.0,1
SDO206,224.29,180.0,2
SDP0206,286.64,161.0,1
SDR0003,141.0,131.0,2
SDR001,135.83,144.0,3
SDR002,130.45,144.0,1
SDR005,118.0,138.2,5
SDR006,116.0,131.0,1
SDR007,114.28,115.6,5
SDR008,115.0,118.0,2
SDR009,128.0,118.0,3
SDR010,,,0
SDS104,220.83,167.0,3
SEM501,159.35,167.0,1
SEO0702,330.54,,0
SFR0302,102.36,110.0,2
SGA202,184.07,,0
SGS0106,151.26,136.67,3
SHA0104,112.67,,0
SHC0506,212.83,,0
SHC0606,187.27,165.0,3
SHC0703,223.25,140.0,3
SHC0801,211.23,1094.0,1
SHC0905,241.33,165.0,2
SHC1103,200.96,161.0,1
SHC1106,300.0,300.0,5
SHL0105,174.27,179.6,5
SHR103,254.39,,0
SHR5231,337.1,,0
SHT1701,152.04,122.0,1
SID0209,127.6,116.8,5
SIP0709,190.0,190.0,3
SIR0501,139.35,,0
SIS0005,115.67,116.5,4
SJE0103,105.63,,0
SJS0001,95.89,90.0,3
SJS0002,96.07,90.0,2
SJS0003,96.93,100.8,5
SJS0004,98.45,100.8,5
SKC0414,234.0,,0
SKL0507,236.5,180.0,2
SKL0905,174.63,180.4,5
SKL1204,,180.4,5
SKL1307,279.4,180.0,1
SKL1604,206.38,,0
SLC0101,80.0,80.0,5
SLC0102,81.5,80.0,5
SLC0103,,80.0,5
SLC0104,87.23,,0
SLC0201,80.0,80.0,5
SLC0202,84.16,80.0,2
SLC0203,83.3,80.0,1
SLC0204,80.58,80.0,4
SLI0703,,159.2,5
SLI0704,177.6,130.0,2
SLI0715,286.04,193.5,2
SLV0011,147.82,131.0,3
SMA0107,178.77,165.0,1
SMA0916,174.79,183.33,3
SMB0307,124.3,,0
SMO0202,123.43,120.0,1
SMT0505,226.86,,0
SMT0529,168.59,164.0,1
SMT0713,173.0,169.0,1
SMT0805,233.3,,0
SMT0930,166.44,169.0,1
SMT0931,187.58,227.0,3
SMT1029,229.67,,0
SMZ407,243.42,230.0,2
SOA0107,138.0,118.0,2
SOA0111,211.08,,0
SOA0205,161.75,153.0,2
SOA0301,220.0,184.0,2
SOA0406,137.29,131.0,1
SOA0506,135.17,131.0,1
SOA0510,164.1,227.0,5
SOA0602,192.27,173.0,2
SOA0608,177.28,174.0,2
SOA0610,189.67,205.0,1
SOA0705,137.42,,0
SOA0907,136.23,169.0,4
SOA0908,183.35,227.0,2
SOA0909,232.22,173.0,1
SOA0910,186.88,227.0,2
SOA0912,231.07,,0
SOH1102,202.22,160.0,3
SOL0404,163.48,162.0,4
SOT0202,169.08,195.75,4
SOT0203,177.95,184.0,4
SOT0303,174.26,,0
SOV0002,211.25,,0
SOV0005,214.25,,0
SOV0103,211.25,200.0,1
SPA309,166.32,173.0,5
SPB0502,312.89,250.0,1
SPB0605,293.96,,0
SPI0811,312.76,200.0,1
SPJ0101,186.27,130.0,2
SPJ0102,186.0,130.0,2
SPJ0104,210.33,130.0,3
SPJ0105,186.46,,0
SPJ0106,229.46,149.0,2
SPJ0201,180.63,130.0,1
SPJ0202,187.14,130.0,3
SPJ0203,160.87,130.0,1
SPJ0204,184.96,,0
SPJ0205,168.18,130.0,1
SPJ0301,173.79,,0
SPJ0302,169.22,,0
SPJ0303,176.5,130.0,1
SPJ0304,184.62,149.0,1
SPJ0305,174.14,135.0,3
SPJ0401,167.26,130.0,1
SPJ0402,165.24,132.0,2
SPJ0403,177.52,,0
SPJ0404,159.32,175.0,1
SPJ0405,193.04,130.0,1
SPJ0501,185.46,135.0,3
SPJ0502,179.48,,0
SPJ0503,157.26,,0
SPJ0504,181.36,,0
SPJ0505,195.79,,0
SPL0342,335.0,335.0,5
SPT0006,103.67,100.0,5
SPT0101,100.0,100.0,5
SPT0102,100.71,100.0,5
SPT0103,104.38,100.0,5
SPT0104,,100.0,5
SPT0105,117.52,,0
SPT0107,100.0,100.0,5
SPT0109,103.6,100.0,3
SPT0110,101.67,100.0,4
SPT0203,105.21,100.0,1
SPT0204,101.89,100.0,1
SPT0205,100.0,100.0,5
SPT0208,100.0,100.0,5
SPT0301,102.14,100.0,5
SPT0303,100.0,100.0,5
SPT0304,,100.0,5
SPT0407,111.87,100.0,5
SPT0501,103.67,100.0,5
SPT0505,,100.0,5
SPT0507,110.04,100.0,1
SPZ0610,357.59,,0
SQC0810,272.76,,0
SQS0108,,181.8,5
SRE0201,276.47,250.25,4
SRL002,115.5,110.0,1
SRO0002,216.82,,0
SRR0007,135.33,176.2,5
SSG0102,212.29,182.33,3
SSG0107,209.1,225.8,5
SSG0125,165.3,169.0,3
SSG0207,213.73,225.8,5
SSG0225,204.1,184.6,5
SSG0304,227.69,219.5,4
SSG0305,226.88,209.0,3
SSG0313,233.5,205.2,5
SSG0317,213.67,209.0,3
SSG0320,182.82,171.0,2
SSG0412,204.58,190.0,3
SSG0424,210.5,,0
SSL0211,350.0,350.0,5
SSL303,251.32,196.0,1
SSN0304,128.86,162.0,4
STA0305,264.12,202.0,2
STCY101,105.93,103.8,5
STCY102,97.29,106.0,2
STCY201,104.97,,0
STCY202,99.26,,0
STE0312,155.89,186.0,5
STG2085,354.14,320.0,3
STI102,129.82,,0
STI105,137.78,,0
STI108,144.47,,0
STI209,148.48,119.0,1
STI210,147.9,,0
STL0702,260.0,260.0,5
STL401,209.65,,0
STM0500,294.5,252.0,1
STN0404,174.15,198.25,4
STN205,250.0,250.0,3
STO2206,504.45,,0
STP0903,169.0,130.0,1
STP1106,132.26,110.0,1
STU309,242.26,209.0,1
SVE401,261.1,269.0,3
SVE407,207.93,205.2,5
SVE508,186.0,237.0,3
SVM1409,167.5,179.0,3
SVN0401,334.0,,0
SVO0506,140.0,138.0,1
SVS0219,179.93,215.2,5
SWR1502,249.43,,0
SYH334,246.86,160.0,2
SZT0375,244.67,250.0,2
TAB0140,179.37,150.0,2
TAH0602,164.53,,0
TAI025,,,0
TAN0000,135.09,160.0,3
TBS106,289.68,330.0,3
TBS1105,299.65,300.0,3
TCO0210,128.75,125.0,3
TCO0213,136.08,127.5,2
TCO0312,142.92,131.0,4
TCO0316,130.55,,0
TCO0409,130.94,120.0,2
TCO0501,157.82,120.0,1
TCO0507,133.43,120.0,1
TCO0511,177.13,,0
TCO0512,123.95,,0
TCO0611,130.64,,0
TCO0612,126.38,,0
TCO0614,148.25,,0
TCO0615,128.0,,0
TCO0709,139.5,,0
TCO0712,137.44,,0
TCO0802,,,0
TCO0811,124.58,153.0,2
TCO0815,125.35,120.0,1
TCO0914,127.85,120.0,1
TCO1003,128.5,125.0,2
TCO1005,131.08,120.0,1
TCO1008,138.65,120.0,2
TCO1013,137.85,,0
TCO1014,129.33,120.0,2
TCO1103,154.72,120.0,3
TCO1104,139.33,139.0,2
TCO1106,130.32,123.75,4
TCO1115,130.23,125.0,2
TCO1117,140.89,143.0,1
TCO1210,123.81,120.0,1
TCO1215,162.21,,0
TCO1216,125.14,,0
TCR0113,136.64,,0
TCR0913,129.68,149.0,2
TDB0101,178.67,170.0,2
TDE0587,196.26,,0
TFL002,95.0,90.0,2
THK0202,153.61,,0
THK0502,157.96,130.0,2
THK1902,163.27,130.0,2
THO2614,181.18,171.0,3
THO2707,207.12,158.0,3
THO2708,202.15,176.0,3
TMHB102,280.0,280.0,3
TML501,,333.0,5
TPS0206,139.94,115.0,1
TPS0308,170.39,,0
TPS101,130.78,115.0,2
TPS103,131.05,130.0,4
TPS104,120.72,122.0,1
TPS105,133.5,,0
TPS106,133.47,,0
TPS107,150.19,149.0,1
TPS108,120.27,,0
TPS201,135.04,127.0,2
TPS202,134.9,,0
TPS203,135.38,110.0,2
TPS204,132.05,151.0,1
TPS205,122.55,110.0,2
TPS207,139.58,,0
TPS208,150.55,115.0,2
TPS209,177.88,122.0,1
TPS210,188.0,,0
TPS211,143.41,146.0,1
TPS212,131.39,134.0,3
TPS302,136.95,,0
TPS303,140.25,149.4,5
TPS306,137.87,135.0,2
TPS307,131.0,,0
TPS310,131.89,,0
TPS311,121.45,,0
TPS312,131.88,122.0,3
TPZ0403,213.46,184.0,3
TPZ0426,192.76,184.0,2
TRA0014,297.0,342.0,5
TRC0410,158.25,,0
TRC0507,145.0,138.0,3
TRN0401,148.38,,0
TRO0154,209.92,162.0,1
TRS0001,132.68,,0
TRS0002,106.2,111.0,1
TRS0003,125.54,120.5,2
TRS0004,136.92,115.67,3
TRS0005,107.87,104.4,5
TRS0006,126.84,118.25,4
TSF1302,303.0,180.0,2
TSO0311,270.5,250.0,1
TSO0403,184.25,,0
TSO0501,168.0,150.0,1
TSO0602,298.5,,0
TSR0501,169.83,130.0,1
TVT1008,243.58,225.0,3
TVT1009,244.0,231.0,1
TVT904,258.59,222.0,1
TXP0206,198.39,187.25,4
TXP0207,188.35,216.2,5
TXP0304,185.16,196.0,3
TXP0311,254.06,215.0,3
TXP0314,360.65,300.0,2
TXP0505,172.33,196.0,3
TXP0604,189.88,242.6,5
TXP0605,185.05,196.0,3
TXP0606,188.46,159.0,2
TXP0608,184.24,216.2,5
TXP0609,191.55,176.0,2
TXP0807,188.74,196.0,3
TXP0903,188.43,,0
TXP0919,283.46,263.0,2
TXP1004,181.96,196.0,3
TXP1007,185.82,196.0,2
TXP1101,282.83,263.0,2
TXP1304,185.5,,0
TXP1305,168.62,,0
TXP1405,193.96,196.5,4
TXP1406,221.95,196.0,3
TXP1410,202.62,207.0,1
TXP1505,189.96,,0
TXP1607,198.85,,0
TXP1803,199.25,196.0,2
TXP1804,188.52,216.2,5
TXP1905,185.17,186.0,1
TXP1912,295.41,263.0,3
TXP1916,222.0,,0
TXP2107,180.2,,0
TXP2206,184.54,196.0,3
TZS210,267.2,268.0,5
UAR301,148.92,140.0,1
UCR0505,,,0
UMC002,,,0
UML0101,171.47,227.0,3
UML0103,155.31,,0
UML0104,157.05,130.0,1
UNI0402,124.9,127.2,5
UPS1002,225.82,163.5,4
URA0015,193.53,131.0,2
URB1110,129.2,123.0,4
VAC0201,124.71,400.0,5
VAC0601,,,0
VAC0603,134.26,144.0,1
VAC0708,127.59,131.0,1
VAC0906,137.2,126.0,1
VAC2205,120.89,131.0,2
VAC5604,170.42,144.0,3
VAM0504,171.5,168.0,3
VAR0302,162.56,130.0,3
VAS1009,195.59,162.0,1
VBM1313,187.4,,0
VBP1805,302.88,224.33,3
VBP1807,310.57,235.25,4
VBX1518,325.33,306.5,4
VCE1102,156.89,140.0,3
VCM005,120.15,110.0,2
VDB0201,271.58,225.0,2
VDE101,,120.0,1
VDG114,137.18,154.0,5
VDI0401,351.94,,0
VDI208,184.1,,0
VDL0010,833.08,500.0,1
VDM101,96.89,,0
VDM303,107.09,,0
VDO102,,,0
VDP0027,180.89,135.0,2
VDP0029,251.86,239.4,5
VDR0202,561.54,333.0,3
VDT0401,450.0,450.0,2
VDV0014,128.81,,0
VEC112,106.74,,0
VEC114,102.64,110.0,1
VEC115,134.46,110.0,1
VEC117,124.59,,0
VEC120,105.3,,0
VEC121,102.07,110.0,1
VEC213,105.93,110.0,2
VEC311,110.56,110.0,1
VEL0102,137.05,128.75,4
VENB504,150.9,149.0,1
VFI0103,210.17,175.0,3
VFR504,215.38,,0
VFR505,188.0,188.0,3
VGA1002,204.94,180.0,3
VGC0005,169.54,150.0,3
VGL041,171.0,194.0,5
VGN0102,150.65,,0
VGT0004,120.2,115.67,3
VGT025,127.62,110.0,2
VGZ0001,175.66,110.0,1
VGZ0002,161.65,110.0,3
VGZ0003,149.0,126.0,3
VGZ0004,127.75,110.0,1
VGZ0005,132.89,110.0,2
VGZ0006,140.69,158.0,1
VGZ0007,175.33,126.0,3
VHB1104,147.88,140.0,2
VIC0203,266.29,237.0,2
VIC0401,585.19,,0
VIF0104,,321.6,5
VIG0011,178.13,184.0,1
VIL0001,106.5,90.0,3
VIL0002,97.0,90.0,1
VIL0003,,95.6,5
VIM0602,245.23,180.0,2
VIN202,197.33,,0
VJG0102,180.0,,0
VJGM0102,123.33,110.0,2
VKA0115,327.43,327.0,5
VLA,128.64,138.0,1
VLD1002,676.85,500.0,2
VLE001,198.0,198.0,5
VLE002,,198.0,5
VLE003,,198.0,5
VLE004,,198.0,5
VLE005,198.0,198.0,5
VLE006,,198.0,5
VLE007,,198.0,5
VLE008,198.0,198.0,1
VLJ204,,560.0,5
VLL0001,420.0,420.0,5
VLL0002,,420.0,5
VLL0009,,420.0,5
VLL0101,,420.0,5
VLL0105,500.0,420.0,1
VLL0107,,420.0,5
VLO0414,410.0,410.0,2
VLO0504,328.24,,0
VLO0514,243.67,248.0,3
VLP0105,289.29,250.0,3
VLP0109,282.33,250.0,2
VLP0111,304.0,250.0,3
VLP0222,226.58,186.75,4
VLPC0103,289.15,,0
VLPD0223,205.52,180.0,1
VLPF0103,286.64,250.0,3
VLR301,157.0,150.0,1
VLR403,149.95,130.0,2
VLR801,174.45,142.8,5
VLR802,142.5,,0
VLRY705,144.74,137.67,3
VLT0107,128.86,126.5,4
VMA101,286.95,,0
VNO1417,153.06,130.0,3
VNR005,208.46,228.2,5
VNT1011,187.73,180.0,4
VNU1405,196.29,165.2,5
VNU1417,204.86,165.2,5
VNU1613,,165.2,5
VNV0801,150.5,140.0,3
VNV1301,157.25,140.0,2
VNVA0801,177.8,,0
VPD0605,239.11,,0
VPS111,157.25,159.0,1
VRA404,278.62,226.0,3
VRE102,111.8,,0
VRL0002,163.06,156.33,3
VRN302,298.75,,0
VST001,335.2,160.0,3
VST002,350.4,144.0,1
VST003,272.11,160.0,1
VST004,298.29,160.0,3
VST005,236.04,153.0,3
VST006,295.73,168.0,3
VST007,294.5,166.0,4
VST008,339.06,168.0,3
VST009,312.5,166.0,4
VST010,301.58,160.0,3
VST011,334.65,169.0,3
VST012,258.62,,0
VST013,372.5,169.0,3
VST014,311.31,160.0,3
VST015,317.79,160.0,3
VST016,349.0,160.0,1
VST017,293.25,166.0,4
VST018,311.92,160.0,3
VST019,343.1,166.0,4
VST020,296.5,160.0,3
VST021,312.78,166.0,4
VST022,306.77,160.0,2
VST023,286.75,160.0,2
VST024,333.67,160.0,3
VST025,302.4,176.0,3
VST027,278.9,160.0,1
VST028,340.72,178.0,1
VST031,362.3,175.25,4
VST032,284.14,178.0,1
VST033,455.29,160.0,3
VST034,297.88,160.0,3
VST035,276.92,,0
VST036,335.6,169.0,2
VST037,325.53,169.0,3
VST038,294.0,160.0,3
VST044,361.06,176.0,3
VTD0109,167.93,138.0,2
VTD0203,152.33,,0
VTD0302,215.0,350.0,2
VTD0310,161.23,,0
VTD0605,159.78,,0
VTD0606,156.35,138.0,2
VTD0703,167.36,,0
VTD0704,179.56,123.0,1
VTE0301,218.9,,0
VTL0103,141.47,,0
VTL0302,188.79,138.0,5
VTR0033,182.46,,0
VVA0490,1201.1,1000.0,2
VVP0027,272.8,243.0,1
WAL0714,234.46,,0
WBU2105,200.21,215.0,2
WBU2405,215.44,,0
WBU2407,216.44,229.0,2
WBU2607,233.04,263.0,1
WBU2615,232.77,229.0,2
WBU3015,185.81,,0
WEL0604,210.0,198.0,2
WPE0304,287.58,170.0,3
WSH0208,207.79,148.0,1
WSH0801,185.74,149.0,1
WTE0103,235.78,,0
YHD0105,204.71,,0
YHD112,,,0
YOU1203,254.48,200.0,1
YVD1301,251.25,,0
ZAH0811,288.67,,0
ZIO0201,123.38,119.2,5
ZNB1304,179.48,150.0,1
ZNB1406,,230.4,5
ZUC0703,193.43,130.0,2
